code,parent_code,level,name,kode_pos
11,,1,Aceh,
11.01,11,2,Kabupaten Aceh Selatan,
11.01.01,11.01,3,Bakongan,
11.01.01.2001,11.01.01,4,Keude Bakongan,23773
11.01.01.2002,11.01.01,4,Ujong Mangki,23773
11.01.01.2003,11.01.01,4,Ujong Padang,23773
11.01.01.2004,11.01.01,4,Gampong Drien,23773
11.01.01.2015,11.01.01,4,Darul Ikhsan,23773
11.01.01.2016,11.01.01,4,Padang Beurahan,23773
11.01.01.2017,11.01.01,4,Gampong Baro,23773
11.01.02,11.01,3,Kluet Utara,
11.01.02.2001,11.01.02,4,Fajar Harapan,23771
11.01.02.2002,11.01.02,4,Krueng Batee,23771
11.01.02.2003,11.01.02,4,Pasi Kuala Asahan,23771
11.01.02.2004,11.01.02,4,Gunong Pulo,23771
11.01.02.2005,11.01.02,4,Pulo Ie I,23771
11.01.02.2006,11.01.02,4,Jambo Manyang,23771
11.01.02.2007,11.01.02,4,Simpang Empat,23771
11.01.02.2008,11.01.02,4,Limau Purut,23771
11.01.02.2009,11.01.02,4,Pulo Kambing,23771
11.01.02.2010,11.01.02,4,Kampung Paya,23771
11.01.02.2011,11.01.02,4,Krueng Batu,23771
11.01.02.2012,11.01.02,4,Krueng Kluet,23771
11.01.02.2013,11.01.02,4,Alur Mas,23771
11.01.02.2014,11.01.02,4,Kampung Tinggi,23771
11.01.02.2015,11.01.02,4,Ruak,23771
11.01.02.2016,11.01.02,4,Simpang Lhee,23771
11.01.02.2017,11.01.02,4,Suaq Geuringgeng,23771
11.01.02.2018,11.01.02,4,Pasi Kuala Ba'u,23771
11.01.02.2019,11.01.02,4,Kedai Padang,23771
11.01.02.2020,11.01.02,4,Kotafajar,23771
11.01.02.2021,11.01.02,4,Gunung Pudung,23771
11.01.03,11.01,3,Kluet Selatan,
11.01.03.2001,11.01.03,4,Suaq Bakung,23772
11.01.03.2002,11.01.03,4,Rantau Binuang,23772
11.01.03.2003,11.01.03,4,Barat Daya,23772
11.01.03.2004,11.01.03,4,Sialang,23772
11.01.03.2005,11.01.03,4,Kapeh,23772
11.01.03.2006,11.01.03,4,Pulo Ie,23772
11.01.03.2007,11.01.03,4,Kedai Runding,23772
11.01.03.2008,11.01.03,4,Kedai Kandang,23772
11.01.03.2009,11.01.03,4,Gampong Luar,23772
11.01.03.2010,11.01.03,4,Ujung,23772
11.01.03.2011,11.01.03,4,Jua,23772
11.01.03.2012,11.01.03,4,Pasi Meurapat,23772
11.01.03.2013,11.01.03,4,Ujung Pasir,23772
11.01.03.2014,11.01.03,4,Geulumbuk,23772
11.01.03.2015,11.01.03,4,Pasie Lembang,23772
11.01.03.2016,11.01.03,4,Ujung Padang,23772
11.01.03.2017,11.01.03,4,Indra Damai,23772
11.01.04,11.01,3,Labuhanhaji,
11.01.04.2001,11.01.04,4,Bakau Hulu,23761
11.01.04.2002,11.01.04,4,Padang Bakau,23761
